Run_ID,Sample_Index,Timestamp,Timestamp_ISO,Serial_Port,Baud_Rate,Telemetry_Format,Raw_Line,Frames_Per_Sample,Firmware_Frames,Avg_NPU_us,Avg_Detect_NPU_us,Avg_Embed_NPU_us,Avg_Depth_NPU_us,Avg_CPU_Active_us,Avg_CPU_Sleep_us,Avg_Total_us,Avg_Total_ms,Inference_Latency_ms,NPU_Latency_ms,CPU_Active_ms,CPU_Sleep_ms,Throughput_FPS,CPU_Utilization_pct,NPU_Utilization_pct,Efficiency_Inferences_Per_Second,Efficiency_MACs_Per_Second,Efficiency_FLOPs_Per_Second,Inferences_Per_Joule,Energy_Per_Inference_mJ,Avg_Power_mW,Voltage_V,Current_mA,Battery_Voltage_V,Battery_Percent,CPU_Clock_MHz,NPU_Clock_MHz,HCLK_Hz,PCLK1_Hz,PCLK2_Hz,SRAM_Used_Bytes,SRAM_Total_Bytes,Flash_Used_Bytes,Flash_Total_Bytes,External_RAM_Used_Bytes,External_RAM_Total_Bytes,VRAM_Used_Bytes,VRAM_Total_Bytes,Model_Name,Model_Size_Bytes,Model_Artifact_Bytes,MACs,FLOPs,NN_Input_Bytes,NN_Output_Bytes,NN_Context_Bytes,Camera_Buffer_Bytes,Crop_Buffer_Bytes,Schedule_Flags
20260531_123048,1,12:30:50,2026-05-31T12:30:50,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=8373,avg_detect_npu_us=8373,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=3891,avg_cpu_sleep_us=47356,avg_total_us=51247,avg_total_ms=51,cpu_util_pct=7,npu_util_pct=16,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,8373,8373,0,0,3891,47356,51247,51,51,8.373,3.891,47.356,19.6078,7,16,19.6078,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,2,12:30:53,2026-05-31T12:30:53,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=8369,avg_detect_npu_us=8369,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=3910,avg_cpu_sleep_us=47363,avg_total_us=51273,avg_total_ms=51,cpu_util_pct=7,npu_util_pct=16,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,8369,8369,0,0,3910,47363,51273,51,51,8.369,3.91,47.363,19.6078,7,16,19.6078,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,3,12:30:56,2026-05-31T12:30:56,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=8369,avg_detect_npu_us=8369,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=3888,avg_cpu_sleep_us=47362,avg_total_us=51250,avg_total_ms=51,cpu_util_pct=7,npu_util_pct=16,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,8369,8369,0,0,3888,47362,51250,51,51,8.369,3.888,47.362,19.6078,7,16,19.6078,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,4,12:31:01,2026-05-31T12:31:01,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=36976,avg_detect_npu_us=8382,avg_embed_npu_us=27513,avg_depth_npu_us=1080,avg_cpu_active_us=33370,avg_cpu_sleep_us=47920,avg_total_us=81290,avg_total_ms=81,cpu_util_pct=41,npu_util_pct=45,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,36976,8382,27513,1080,33370,47920,81290,81,81,36.976,33.37,47.92,12.3457,41,45,12.3457,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,5,12:31:05,2026-05-31T12:31:05,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=15933,avg_detect_npu_us=8378,avg_embed_npu_us=5394,avg_depth_npu_us=2161,avg_cpu_active_us=11925,avg_cpu_sleep_us=34546,avg_total_us=46471,avg_total_ms=46,cpu_util_pct=25,npu_util_pct=34,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,15933,8378,5394,2161,11925,34546,46471,46,46,15.933,11.925,34.546,21.7391,25,34,21.7391,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,6,12:31:11,2026-05-31T12:31:11,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=22066,avg_detect_npu_us=8380,avg_embed_npu_us=12605,avg_depth_npu_us=1080,avg_cpu_active_us=17396,avg_cpu_sleep_us=19555,avg_total_us=36950,avg_total_ms=37,cpu_util_pct=47,npu_util_pct=59,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,22066,8380,12605,1080,17396,19555,36950,37,37,22.066,17.396,19.555,27.027,47,59,27.027,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,7,12:31:16,2026-05-31T12:31:16,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=21858,avg_detect_npu_us=8381,avg_embed_npu_us=10776,avg_depth_npu_us=2701,avg_cpu_active_us=17272,avg_cpu_sleep_us=19164,avg_total_us=36436,avg_total_ms=36,cpu_util_pct=47,npu_util_pct=59,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,21858,8381,10776,2701,17272,19164,36436,36,36,21.858,17.272,19.164,27.7778,47,59,27.7778,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,8,12:31:21,2026-05-31T12:31:21,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=22594,avg_detect_npu_us=8379,avg_embed_npu_us=12594,avg_depth_npu_us=1621,avg_cpu_active_us=17955,avg_cpu_sleep_us=19045,avg_total_us=37000,avg_total_ms=37,cpu_util_pct=48,npu_util_pct=61,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,22594,8379,12594,1621,17955,19045,37000,37,37,22.594,17.955,19.045,27.027,48,61,27.027,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,9,12:31:26,2026-05-31T12:31:26,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=19210,avg_detect_npu_us=8381,avg_embed_npu_us=10829,avg_depth_npu_us=0,avg_cpu_active_us=14860,avg_cpu_sleep_us=20875,avg_total_us=35735,avg_total_ms=36,cpu_util_pct=41,npu_util_pct=53,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,19210,8381,10829,0,14860,20875,35735,36,36,19.21,14.86,20.875,27.7778,41,53,27.7778,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
20260531_123048,10,12:31:31,2026-05-31T12:31:31,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=20979,avg_detect_npu_us=8380,avg_embed_npu_us=12599,avg_depth_npu_us=0,avg_cpu_active_us=16620,avg_cpu_sleep_us=20253,avg_total_us=36873,avg_total_ms=37,cpu_util_pct=45,npu_util_pct=56,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,20979,8380,12599,0,16620,20253,36873,37,37,20.979,16.62,20.253,27.027,45,56,27.027,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2561331,2561331,,,49152,60928,64,49152,49152,1
