Run_ID,Sample_Index,Timestamp,Timestamp_ISO,Serial_Port,Baud_Rate,Telemetry_Format,Raw_Line,Frames_Per_Sample,Firmware_Frames,Avg_NPU_us,Avg_Detect_NPU_us,Avg_Embed_NPU_us,Avg_Depth_NPU_us,Avg_CPU_Active_us,Avg_CPU_Sleep_us,Avg_Total_us,Avg_Total_ms,Inference_Latency_ms,NPU_Latency_ms,CPU_Active_ms,CPU_Sleep_ms,Throughput_FPS,CPU_Utilization_pct,NPU_Utilization_pct,Efficiency_Inferences_Per_Second,Efficiency_MACs_Per_Second,Efficiency_FLOPs_Per_Second,Inferences_Per_Joule,Energy_Per_Inference_mJ,Avg_Power_mW,Voltage_V,Current_mA,Battery_Voltage_V,Battery_Percent,CPU_Clock_MHz,NPU_Clock_MHz,HCLK_Hz,PCLK1_Hz,PCLK2_Hz,SRAM_Used_Bytes,SRAM_Total_Bytes,Flash_Used_Bytes,Flash_Total_Bytes,External_RAM_Used_Bytes,External_RAM_Total_Bytes,VRAM_Used_Bytes,VRAM_Total_Bytes,Model_Name,Model_Size_Bytes,Model_Artifact_Bytes,MACs,FLOPs,NN_Input_Bytes,NN_Output_Bytes,NN_Context_Bytes,Camera_Buffer_Bytes,Crop_Buffer_Bytes,Schedule_Flags
20260529_195943,1,19:59:47,2026-05-29T19:59:47,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=9886,avg_detect_npu_us=9886,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=5765,avg_cpu_sleep_us=112373,avg_total_us=118138,avg_total_ms=118,cpu_util_pct=4,npu_util_pct=8,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,9886,9886,0,0,5765,112373,118138,118,118,9.886,5.765,112.373,8.47458,4,8,8.47458,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,2,19:59:56,2026-05-29T19:59:56,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=29329,avg_detect_npu_us=9893,avg_embed_npu_us=16194,avg_depth_npu_us=3242,avg_cpu_active_us=26066,avg_cpu_sleep_us=107826,avg_total_us=133891,avg_total_ms=134,cpu_util_pct=19,npu_util_pct=21,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=7",100,100,29329,9893,16194,3242,26066,107826,133891,134,134,29.329,26.066,107.826,7.46269,19,21,7.46269,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,7
20260529_195943,3,20:00:03,2026-05-29T20:00:03,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=13996,avg_detect_npu_us=9889,avg_embed_npu_us=3566,avg_depth_npu_us=540,avg_cpu_active_us=10135,avg_cpu_sleep_us=107983,avg_total_us=118118,avg_total_ms=118,cpu_util_pct=8,npu_util_pct=11,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,13996,9889,3566,540,10135,107983,118118,118,118,13.996,10.135,107.983,8.47458,8,11,8.47458,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,4,20:00:12,2026-05-29T20:00:12,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=25950,avg_detect_npu_us=9893,avg_embed_npu_us=16057,avg_depth_npu_us=0,avg_cpu_active_us=22555,avg_cpu_sleep_us=100698,avg_total_us=123253,avg_total_ms=123,cpu_util_pct=18,npu_util_pct=21,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,25950,9893,16057,0,22555,100698,123253,123,123,25.95,22.555,100.698,8.13008,18,21,8.13008,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,5,20:00:21,2026-05-29T20:00:21,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=29525,avg_detect_npu_us=9895,avg_embed_npu_us=19630,avg_depth_npu_us=0,avg_cpu_active_us=26226,avg_cpu_sleep_us=95771,avg_total_us=121997,avg_total_ms=122,cpu_util_pct=21,npu_util_pct=24,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,29525,9895,19630,0,26226,95771,121997,122,122,29.525,26.226,95.771,8.19672,21,24,8.19672,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,6,20:00:30,2026-05-29T20:00:30,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=31684,avg_detect_npu_us=9895,avg_embed_npu_us=19627,avg_depth_npu_us=2162,avg_cpu_active_us=28604,avg_cpu_sleep_us=94765,avg_total_us=123369,avg_total_ms=123,cpu_util_pct=23,npu_util_pct=25,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,31684,9895,19627,2162,28604,94765,123369,123,123,31.684,28.604,94.765,8.13008,23,25,8.13008,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,7,20:00:40,2026-05-29T20:00:40,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=17795,avg_detect_npu_us=9889,avg_embed_npu_us=3583,avg_depth_npu_us=4322,avg_cpu_active_us=63517,avg_cpu_sleep_us=113929,avg_total_us=177446,avg_total_ms=177,cpu_util_pct=35,npu_util_pct=10,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,17795,9889,3583,4322,63517,113929,177446,177,177,17.795,63.517,113.929,5.64972,35,10,5.64972,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,8,20:00:48,2026-05-29T20:00:48,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=26772,avg_detect_npu_us=9894,avg_embed_npu_us=12556,avg_depth_npu_us=4322,avg_cpu_active_us=23746,avg_cpu_sleep_us=106144,avg_total_us=129889,avg_total_ms=130,cpu_util_pct=18,npu_util_pct=20,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,26772,9894,12556,4322,23746,106144,129889,130,130,26.772,23.746,106.144,7.69231,18,20,7.69231,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_195943,9,20:00:56,2026-05-29T20:00:56,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=15684,avg_detect_npu_us=9890,avg_embed_npu_us=3633,avg_depth_npu_us=2161,avg_cpu_active_us=11470,avg_cpu_sleep_us=105083,avg_total_us=116552,avg_total_ms=117,cpu_util_pct=9,npu_util_pct=13,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=5",100,100,15684,9890,3633,2161,11470,105083,116552,117,117,15.684,11.47,105.083,8.54701,9,13,8.54701,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,5
20260529_195943,10,20:01:05,2026-05-29T20:01:05,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=20266,avg_detect_npu_us=9891,avg_embed_npu_us=7133,avg_depth_npu_us=3241,avg_cpu_active_us=15597,avg_cpu_sleep_us=95981,avg_total_us=111578,avg_total_ms=112,cpu_util_pct=13,npu_util_pct=18,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,20266,9891,7133,3241,15597,95981,111578,112,112,20.266,15.597,95.981,8.92857,13,18,8.92857,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
