Run_ID,Sample_Index,Timestamp,Timestamp_ISO,Serial_Port,Baud_Rate,Telemetry_Format,Raw_Line,Frames_Per_Sample,Firmware_Frames,Avg_NPU_us,Avg_Detect_NPU_us,Avg_Embed_NPU_us,Avg_Depth_NPU_us,Avg_CPU_Active_us,Avg_CPU_Sleep_us,Avg_Total_us,Avg_Total_ms,Inference_Latency_ms,NPU_Latency_ms,CPU_Active_ms,CPU_Sleep_ms,Throughput_FPS,CPU_Utilization_pct,NPU_Utilization_pct,Efficiency_Inferences_Per_Second,Efficiency_MACs_Per_Second,Efficiency_FLOPs_Per_Second,Inferences_Per_Joule,Energy_Per_Inference_mJ,Avg_Power_mW,Voltage_V,Current_mA,Battery_Voltage_V,Battery_Percent,CPU_Clock_MHz,NPU_Clock_MHz,HCLK_Hz,PCLK1_Hz,PCLK2_Hz,SRAM_Used_Bytes,SRAM_Total_Bytes,Flash_Used_Bytes,Flash_Total_Bytes,External_RAM_Used_Bytes,External_RAM_Total_Bytes,VRAM_Used_Bytes,VRAM_Total_Bytes,Model_Name,Model_Size_Bytes,Model_Artifact_Bytes,MACs,FLOPs,NN_Input_Bytes,NN_Output_Bytes,NN_Context_Bytes,Camera_Buffer_Bytes,Crop_Buffer_Bytes,Schedule_Flags
20260529_211231,1,21:12:35,2026-05-29T21:12:35,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=10000,avg_detect_npu_us=10000,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=5813,avg_cpu_sleep_us=112196,avg_total_us=118009,avg_total_ms=118,cpu_util_pct=4,npu_util_pct=8,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,10000,10000,0,0,5813,112196,118009,118,118,10,5.813,112.196,8.47458,4,8,8.47458,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,2,21:12:42,2026-05-29T21:12:42,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=19491,avg_detect_npu_us=10003,avg_embed_npu_us=7327,avg_depth_npu_us=2161,avg_cpu_active_us=15906,avg_cpu_sleep_us=111086,avg_total_us=126992,avg_total_ms=127,cpu_util_pct=12,npu_util_pct=15,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,19491,10003,7327,2161,15906,111086,126992,127,127,19.491,15.906,111.086,7.87402,12,15,7.87402,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,3,21:12:53,2026-05-29T21:12:53,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=28900,avg_detect_npu_us=10006,avg_embed_npu_us=16193,avg_depth_npu_us=2701,avg_cpu_active_us=75001,avg_cpu_sleep_us=110907,avg_total_us=185908,avg_total_ms=186,cpu_util_pct=40,npu_util_pct=15,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,28900,10006,16193,2701,75001,110907,185908,186,186,28.9,75.001,110.907,5.37634,40,15,5.37634,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,4,21:13:04,2026-05-29T21:13:04,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=27802,avg_detect_npu_us=10006,avg_embed_npu_us=14554,avg_depth_npu_us=3242,avg_cpu_active_us=24760,avg_cpu_sleep_us=108957,avg_total_us=133716,avg_total_ms=134,cpu_util_pct=18,npu_util_pct=20,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,27802,10006,14554,3242,24760,108957,133716,134,134,27.802,24.76,108.957,7.46269,18,20,7.46269,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,5,21:13:14,2026-05-29T21:13:14,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=28551,avg_detect_npu_us=10012,avg_embed_npu_us=17999,avg_depth_npu_us=540,avg_cpu_active_us=26084,avg_cpu_sleep_us=115729,avg_total_us=141813,avg_total_ms=142,cpu_util_pct=18,npu_util_pct=20,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,28551,10012,17999,540,26084,115729,141813,142,142,28.551,26.084,115.729,7.04225,18,20,7.04225,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,6,21:13:25,2026-05-29T21:13:25,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=31936,avg_detect_npu_us=10015,avg_embed_npu_us=19760,avg_depth_npu_us=2161,avg_cpu_active_us=29725,avg_cpu_sleep_us=116257,avg_total_us=145982,avg_total_ms=146,cpu_util_pct=20,npu_util_pct=21,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,31936,10015,19760,2161,29725,116257,145982,146,146,31.936,29.725,116.257,6.84932,20,21,6.84932,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,7,21:13:36,2026-05-29T21:13:36,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=31601,avg_detect_npu_us=10016,avg_embed_npu_us=21585,avg_depth_npu_us=0,avg_cpu_active_us=29210,avg_cpu_sleep_us=118244,avg_total_us=147454,avg_total_ms=147,cpu_util_pct=19,npu_util_pct=21,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,31601,10016,21585,0,29210,118244,147454,147,147,31.601,29.21,118.244,6.80272,19,21,6.80272,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,8,21:13:46,2026-05-29T21:13:46,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=29796,avg_detect_npu_us=10011,avg_embed_npu_us=19785,avg_depth_npu_us=0,avg_cpu_active_us=27277,avg_cpu_sleep_us=116818,avg_total_us=144094,avg_total_ms=144,cpu_util_pct=18,npu_util_pct=20,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,29796,10011,19785,0,27277,116818,144094,144,144,29.796,27.277,116.818,6.94444,18,20,6.94444,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,9,21:13:56,2026-05-29T21:13:56,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=10005,avg_detect_npu_us=10005,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=6689,avg_cpu_sleep_us=117346,avg_total_us=124035,avg_total_ms=124,cpu_util_pct=5,npu_util_pct=8,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,10005,10005,0,0,6689,117346,124035,124,124,10.005,6.689,117.346,8.06452,5,8,8.06452,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,10,21:14:05,2026-05-29T21:14:05,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=10008,avg_detect_npu_us=10008,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=6525,avg_cpu_sleep_us=113866,avg_total_us=120391,avg_total_ms=120,cpu_util_pct=5,npu_util_pct=8,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,10008,10008,0,0,6525,113866,120391,120,120,10.008,6.525,113.866,8.33333,5,8,8.33333,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,11,21:14:15,2026-05-29T21:14:15,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=10010,avg_detect_npu_us=10010,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=6623,avg_cpu_sleep_us=118225,avg_total_us=124849,avg_total_ms=125,cpu_util_pct=5,npu_util_pct=8,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,10010,10010,0,0,6623,118225,124849,125,125,10.01,6.623,118.225,8,5,8,8,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,12,21:14:24,2026-05-29T21:14:24,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=10005,avg_detect_npu_us=10005,avg_embed_npu_us=0,avg_depth_npu_us=0,avg_cpu_active_us=6432,avg_cpu_sleep_us=114021,avg_total_us=120453,avg_total_ms=120,cpu_util_pct=5,npu_util_pct=8,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,10005,10005,0,0,6432,114021,120453,120,120,10.005,6.432,114.021,8.33333,5,8,8.33333,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,13,21:14:34,2026-05-29T21:14:34,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=11803,avg_detect_npu_us=10006,avg_embed_npu_us=1797,avg_depth_npu_us=0,avg_cpu_active_us=8536,avg_cpu_sleep_us=117481,avg_total_us=126017,avg_total_ms=126,cpu_util_pct=6,npu_util_pct=9,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,11803,10006,1797,0,8536,117481,126017,126,126,11.803,8.536,117.481,7.93651,6,9,7.93651,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_211231,14,21:14:45,2026-05-29T21:14:45,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=35196,avg_detect_npu_us=10010,avg_embed_npu_us=25186,avg_depth_npu_us=0,avg_cpu_active_us=32948,avg_cpu_sleep_us=116363,avg_total_us=149311,avg_total_ms=149,cpu_util_pct=22,npu_util_pct=23,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,35196,10010,25186,0,32948,116363,149311,149,149,35.196,32.948,116.363,6.71141,22,23,6.71141,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
