Run_ID,Sample_Index,Timestamp,Timestamp_ISO,Serial_Port,Baud_Rate,Telemetry_Format,Raw_Line,Frames_Per_Sample,Firmware_Frames,Avg_NPU_us,Avg_Detect_NPU_us,Avg_Embed_NPU_us,Avg_Depth_NPU_us,Avg_CPU_Active_us,Avg_CPU_Sleep_us,Avg_Total_us,Avg_Total_ms,Inference_Latency_ms,NPU_Latency_ms,CPU_Active_ms,CPU_Sleep_ms,Throughput_FPS,CPU_Utilization_pct,NPU_Utilization_pct,Efficiency_Inferences_Per_Second,Efficiency_MACs_Per_Second,Efficiency_FLOPs_Per_Second,Inferences_Per_Joule,Energy_Per_Inference_mJ,Avg_Power_mW,Voltage_V,Current_mA,Battery_Voltage_V,Battery_Percent,CPU_Clock_MHz,NPU_Clock_MHz,HCLK_Hz,PCLK1_Hz,PCLK2_Hz,SRAM_Used_Bytes,SRAM_Total_Bytes,Flash_Used_Bytes,Flash_Total_Bytes,External_RAM_Used_Bytes,External_RAM_Total_Bytes,VRAM_Used_Bytes,VRAM_Total_Bytes,Model_Name,Model_Size_Bytes,Model_Artifact_Bytes,MACs,FLOPs,NN_Input_Bytes,NN_Output_Bytes,NN_Context_Bytes,Camera_Buffer_Bytes,Crop_Buffer_Bytes,Schedule_Flags
20260529_205629,1,20:56:36,2026-05-29T20:56:36,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=42681,avg_detect_npu_us=10012,avg_embed_npu_us=32669,avg_depth_npu_us=0,avg_cpu_active_us=40439,avg_cpu_sleep_us=115582,avg_total_us=156021,avg_total_ms=156,cpu_util_pct=25,npu_util_pct=27,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,42681,10012,32669,0,40439,115582,156021,156,156,42.681,40.439,115.582,6.41026,25,27,6.41026,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,2,20:56:47,2026-05-29T20:56:47,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=72827,avg_detect_npu_us=10012,avg_embed_npu_us=62274,avg_depth_npu_us=540,avg_cpu_active_us=71211,avg_cpu_sleep_us=115365,avg_total_us=186576,avg_total_ms=187,cpu_util_pct=38,npu_util_pct=39,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=7",100,100,72827,10012,62274,540,71211,115365,186576,187,187,72.827,71.211,115.365,5.34759,38,39,5.34759,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,7
20260529_205629,3,20:56:54,2026-05-29T20:56:54,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=18811,avg_detect_npu_us=10004,avg_embed_npu_us=7186,avg_depth_npu_us=1621,avg_cpu_active_us=15362,avg_cpu_sleep_us=112623,avg_total_us=127985,avg_total_ms=128,cpu_util_pct=12,npu_util_pct=14,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,18811,10004,7186,1621,15362,112623,127985,128,128,18.811,15.362,112.623,7.8125,12,14,7.8125,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,4,20:57:07,2026-05-29T20:57:07,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=20259,avg_detect_npu_us=10005,avg_embed_npu_us=5391,avg_depth_npu_us=4862,avg_cpu_active_us=65787,avg_cpu_sleep_us=102894,avg_total_us=168681,avg_total_ms=169,cpu_util_pct=39,npu_util_pct=12,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,20259,10005,5391,4862,65787,102894,168681,169,169,20.259,65.787,102.894,5.91716,39,12,5.91716,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,5,20:57:16,2026-05-29T20:57:16,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=23681,avg_detect_npu_us=10007,avg_embed_npu_us=12594,avg_depth_npu_us=1080,avg_cpu_active_us=20720,avg_cpu_sleep_us=110025,avg_total_us=130745,avg_total_ms=131,cpu_util_pct=15,npu_util_pct=18,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,23681,10007,12594,1080,20720,110025,130745,131,131,23.681,20.72,110.025,7.63359,15,18,7.63359,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,6,20:57:27,2026-05-29T20:57:27,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=31591,avg_detect_npu_us=10010,avg_embed_npu_us=21581,avg_depth_npu_us=0,avg_cpu_active_us=29334,avg_cpu_sleep_us=117394,avg_total_us=146727,avg_total_ms=147,cpu_util_pct=19,npu_util_pct=21,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,31591,10010,21581,0,29334,117394,146727,147,147,31.591,29.334,117.394,6.80272,19,21,6.80272,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,7,20:57:38,2026-05-29T20:57:38,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=37548,avg_detect_npu_us=10009,avg_embed_npu_us=26998,avg_depth_npu_us=540,avg_cpu_active_us=35531,avg_cpu_sleep_us=117599,avg_total_us=153130,avg_total_ms=153,cpu_util_pct=23,npu_util_pct=24,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,37548,10009,26998,540,35531,117599,153130,153,153,37.548,35.531,117.599,6.53595,23,24,6.53595,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,8,20:57:46,2026-05-29T20:57:46,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=26349,avg_detect_npu_us=10004,avg_embed_npu_us=16345,avg_depth_npu_us=0,avg_cpu_active_us=22736,avg_cpu_sleep_us=106225,avg_total_us=128961,avg_total_ms=129,cpu_util_pct=17,npu_util_pct=20,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=3",100,100,26349,10004,16345,0,22736,106225,128961,129,129,26.349,22.736,106.225,7.75194,17,20,7.75194,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,3
20260529_205629,9,20:57:55,2026-05-29T20:57:55,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=51903,avg_detect_npu_us=10008,avg_embed_npu_us=40275,avg_depth_npu_us=1621,avg_cpu_active_us=49144,avg_cpu_sleep_us=114167,avg_total_us=163311,avg_total_ms=163,cpu_util_pct=30,npu_util_pct=31,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,51903,10008,40275,1621,49144,114167,163311,163,163,51.903,49.144,114.167,6.13497,30,31,6.13497,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
20260529_205629,10,20:58:04,2026-05-29T20:58:04,COM23,115200,key_value,"TELEMETRY,frames=100,avg_npu_us=40066,avg_detect_npu_us=10008,avg_embed_npu_us=27356,avg_depth_npu_us=2701,avg_cpu_active_us=37454,avg_cpu_sleep_us=112280,avg_total_us=149734,avg_total_ms=150,cpu_util_pct=25,npu_util_pct=26,hclk_hz=200000000,pclk1_hz=200000000,pclk2_hz=200000000,nn_input_bytes=49152,nn_output_bytes=60928,nn_context_bytes=64,camera_buffer_bytes=49152,crop_buffer_bytes=49152,schedule_flags=1",100,100,40066,10008,27356,2701,37454,112280,149734,150,150,40.066,37.454,112.28,6.66667,25,26,6.66667,,,,,,,,,,200,,200000000,200000000,200000000,,,,,,,,,,2565427,2565427,,,49152,60928,64,49152,49152,1
